"","Species","Trophic_level"
"764","Minuartia rostrata","Plant"
"765","Carex flacca","Plant"
"766","Vicia tetrasperma","Plant"
"767","Gentianella amarella","Plant"
"768","Anacamptis morio","Plant"
"769","Aegonychon purpurocaeruleum","Plant"
"770","Dictamnus albus","Plant"
"771","Thymus pulegioides","Plant"
"772","Spartium junceum","Plant"
"773","Veronica barrelieri","Plant"
"774","Lotus hirsutus","Plant"
"775","Knautia collina","Plant"
"776","Stachys germanica","Plant"
"777","Peucedanum cervaria","Plant"
"778","Chamaecytisus hirsutus","Plant"
"779","Polygala nicaeensis","Plant"
"780","Stachys heraclea","Plant"
"781","Cephalaria transsylvanica","Plant"
"782","Odontites luteus","Plant"
"783","Pulmonaria hirta","Plant"
"784","Taraxacum levigatum","Plant"
"785","Scorpiurus muricatus","Plant"
"786","Gladiolus communis","Plant"
"787","Picris angustifolia","Plant"
"788","Genista januensis","Plant"
"789","Plantago major","Plant"
"790","Crepis vesicaria","Plant"
"791","Taraxacum campylodes","Plant"
"792","Cistus crispus","Plant"
"793","Teucrium fruticans","Plant"
"794","Cistus ladanifer","Plant"
"795","Asphodelus fistulosus","Plant"
"796","Lavandula pedunculata","Plant"
"797","Malva multiflora","Plant"
"798","Echium plantagineum","Plant"
"799","Thymus mastichina","Plant"
"800","Thapsia villosa","Plant"
"801","Cistus calycinus","Plant"
"802","Andryala integrifolia","Plant"
"803","Cistus halimifolius","Plant"
"804","Retama sphaerocarpa","Plant"
"805","Erophaca baetica","Plant"
"806","Erica scoparia","Plant"
"807","Erica umbellata","Plant"
"808","Armeria velutina","Plant"
"809","Cistus libanotis","Plant"
"810","Scabiosa atropurpurea","Plant"
"811","Chamaemelum fuscatum","Plant"
"812","Erica ciliaris","Plant"
"813","Cerinthe major","Plant"
"814","Ulex australis","Plant"
"815","Leontodon longirostris","Plant"
"816","Anchusa azurea","Plant"
"817","Diplotaxis virgata","Plant"
"818","Linaria viscosa","Plant"
"819","Anemone palmata","Plant"
"820","Lupinus angustifolius","Plant"
"821","Linum bienne","Plant"
"822","Leontodon taraxacoides","Plant"
"823","Centaurea sphaerocephala","Plant"
"824","Taraxacum vulgare","Plant"
"825","Calendula arvensis","Plant"
"826","Arctotheca calendula","Plant"
"827","Phlomis purpurea","Plant"
"828","Genista hirsuta","Plant"
"829","Sedum sexangulare","Plant"
"830","Polygala comosa","Plant"
"831","Jacobaea erucifolia","Plant"
"832","Crataegus laevigata","Plant"
"833","Gentianopsis ciliata","Plant"
"834","Melampyrum arvense","Plant"
"835","Orchis militaris","Plant"
"836","Lathyrus tuberosus","Plant"
"837","Tilia cordata","Plant"
"838","Tilia platyphyllos","Plant"
"839","Primula farinosa","Plant"
"840","Ranunculus montanus","Plant"
"841","Polygaloides chamaebuxus","Plant"
"842","Aster bellidiastrum","Plant"
"843","Dryas octopetala","Plant"
"844","Clinopodium alpinum","Plant"
"845","Tolpis staticifolia","Plant"
"846","Galium anisophyllon","Plant"
"847","Cuscuta epithymum","Plant"
"848","Gentianella obtusifolia","Plant"
"849","Aposeris foetida","Plant"
"850","Myosotis sylvatica","Plant"
"851","Potentilla aurea","Plant"
"852","Homogyne alpina","Plant"
"853","Anthriscus nitida","Plant"
"854","Adenostyles alliariae","Plant"
"855","Carlina acaulis","Plant"
"856","Gentiana asclepiadea","Plant"
"857","Myosotis alpestris","Plant"
"858","Arabis ciliata","Plant"
"859","Jacobaea abrotanifolia","Plant"
"860","Mutellina purpurea","Plant"
"861","Leucanthemum halleri","Plant"
"862","Hieracium villosum","Plant"
"863","Ranunculus alpestris","Plant"
"864","Gentiana clusii","Plant"
"865","Saxifraga androsacea","Plant"
"866","Androsace chamaejasme","Plant"
"867","Saxifraga caesia","Plant"
"868","Lysimachia nemorum","Plant"
"869","Viola biflora","Plant"
"870","Trollius europaeus","Plant"
"871","Willemetia stipitata","Plant"
"872","Stellaria nemorum","Plant"
"873","Melampyrum sylvaticum","Plant"
"874","Heracleum austriacum","Plant"
"875","Tofieldia calyculata","Plant"
"876","Gentiana pannonica","Plant"
"877","Knautia dipsacifolia","Plant"
"878","Veronica aphylla","Plant"
"879","Veronica serpyllifolia","Plant"
"880","Achillea atrata","Plant"
"881","Campanula cochleariifolia","Plant"
"882","Tragopogon orientalis","Plant"
"883","Chaerophyllum aureum","Plant"
"884","Lophiolepis eriophora","Plant"
"885","Erysimum odoratum","Plant"
"886","Clinopodium acinos","Plant"
"887","Dianthus carthusianorum","Plant"
"888","Aster amellus","Plant"
"889","Echinops sphaerocephalus","Plant"
"890","Leucanthemum ircutianum","Plant"
"891","Cynoglossum officinale","Plant"
"892","Erica carnea","Plant"
"893","Gentiana verna","Plant"
"894","Polygala amara","Plant"
"895","Primula elatior","Plant"
"896","Viola reichenbachiana","Plant"
"897","Polygala alpestris","Plant"
"898","Salvia verticillata","Plant"
"899","Carex ericetorum","Plant"
"900","Soldanella alpina","Plant"
"901","Hieracium murorum","Plant"
"902","Euphrasia picta","Plant"
"903","Globularia cordifolia","Plant"
"904","Antennaria dioica","Plant"
"905","Rhodothamnus chamaecistus","Plant"
"906","Cardamine enneaphyllos","Plant"
"907","Crocus vernus","Plant"
"908","Tussilago farfara","Plant"
"909","Silene acaulis","Plant"
"910","Viola hirta","Plant"
"911","Bartsia alpina","Plant"
"912","Cirsium spinosissimum","Plant"
"913","Campanula alpina","Plant"
"914","Pedicularis rostratospicata","Plant"
"915","Larix decidua","Plant"
"916","Petasites albus","Plant"
"917","Chrysosplenium alternifolium","Plant"
"918","Daphne mezereum","Plant"
"919","Rumex scutatus","Plant"
"920","Globularia nudicaulis","Plant"
"921","Potentilla brauneana","Plant"
"922","Veronica alpina","Plant"
"923","Caltha palustris","Plant"
"924","Hepatica nobilis","Plant"
"925","Pulmonaria officinalis","Plant"
"926","Rheum rhabarbarum","Plant"
"927","Helleborus niger","Plant"
"928","Crepis terglouensis","Plant"
"929","Salix retusa","Plant"
"930","Primula minima","Plant"
"931","Phyteuma spicatum","Plant"
"932","Polygonatum verticillatum","Plant"
"933","Thalictrum aquilegiifolium","Plant"
"934","Tripleurospermum maritimum","Plant"
"935","Fragaria viridis","Plant"
"936","Malva neglecta","Plant"
"937","Descurainia sophia","Plant"
"938","Lamium amplexicaule","Plant"
"939","Geum urbanum","Plant"
"940","Lepidium draba","Plant"
"941","Ranunculus arvensis","Plant"
"942","Aethusa cynapium","Plant"
"943","Valeriana locusta","Plant"
"944","Malva moschata","Plant"
"945","Antirrhinum majus","Plant"
"946","Crepis mollis","Plant"
"947","Trifolium rubens","Plant"
"948","Anemonoides sylvestris","Plant"
"949","Myosotis stricta","Plant"
"950","Hieracium alpinum","Plant"
"951","Fumaria muralis","Plant"
"952","Brassica oleracea","Plant"
"953","Melilotus italicus","Plant"
"954","Coleostephus myconis","Plant"
"955","Erodium moschatum","Plant"
"956","Silene gallica","Plant"
"957","Sisymbrium officinale","Plant"
"958","Ranunculus muricatus","Plant"
"959","Spergula arvensis","Plant"
"960","Spergularia purpurea","Plant"
"961","Stachys arvensis","Plant"
"962","Cladanthus mixtus","Plant"
"963","Vicia eriocarpa","Plant"
"964","Cytisus striatus","Plant"
"965","Cytisus multiflorus","Plant"
"966","Lonicera periclymenum","Plant"
"967","Cistus inflatus","Plant"
"968","Digitalis thapsi","Plant"
"969","Linaria spartea","Plant"
"970","Sesamoides purpurascens","Plant"
"971","Tolpis barbata","Plant"
"972","Glandora prostrata","Plant"
"973","Glebionis segetum","Plant"
"974","Reseda media","Plant"
"975","Brassica barrelieri","Plant"
"976","Cardamine hirsuta","Plant"
"977","Sanguisorba verrucosa","Plant"
"978","Epilobium brachycarpum","Plant"
"979","Lupinus luteus","Plant"
"980","Epilobium parviflorum","Plant"
"981","Carex hirta","Plant"
"982","Viburnum opulus","Plant"
"983","Circaea lutetiana","Plant"
"984","Veronica filiformis","Plant"
"985","Anthriscus cerefolium","Plant"
"986","Sanguisorba officinalis","Plant"
"987","Euonymus europaeus","Plant"
"988","Rumex obtusifolius","Plant"
"989","Potentilla sterilis","Plant"
"990","Salvia nubicola","Plant"
"991","Juglans regia","Plant"
"992","Hypericum hirsutum","Plant"
"993","Thapsia foetida","Plant"
"994","Helichrysum serotinum","Plant"
"995","Andryala ragusina","Plant"
"996","Parentucellia viscosa","Plant"
"997","Quercus suber","Plant"
"998","Quercus coccifera","Plant"
"999","Sesamoides interrupta","Plant"
"1000","Pulicaria odora","Plant"
"1001","Asphodelus ramosus","Plant"
"1002","Ruta montana","Plant"
"1003","Valeriana calcitrapae","Plant"
"1004","Quercus ilex","Plant"
"1005","Genista triacanthos","Plant"
"1006","Plantago coronopus","Plant"
"1007","Gladiolus illyricus","Plant"
"1008","Campanula lusitanica","Plant"
"1009","Osyris lanceolata","Plant"
"1010","Pistacia lentiscus","Plant"
"1011","Lathyrus vernus","Plant"
"1012","Onopordum acanthium","Plant"
"1013","Myosotis scorpioides","Plant"
"1014","Allium oleraceum","Plant"
"1015","Linaria repens","Plant"
"1016","Leontodon saxatilis","Plant"
"1017","Rosa spinosissima","Plant"
"1018","Centaurium littorale","Plant"
"1019","Eryngium maritimum","Plant"
"1020","Viola lutea","Plant"
"1021","Digitalis purpurea","Plant"
"1022","Ulex europaeus","Plant"
"1023","Hyacinthoides non-scripta","Plant"
"1024","Primula vulgaris","Plant"
"1025","Carex panicea","Plant"
"1026","Cotoneaster franchetii","Plant"
"1027","Salvia verbenaca","Plant"
"1028","Anthoxanthum odoratum","Plant"
"1029","Conopodium majus","Plant"
"1030","Hypericum androsaemum","Plant"
"1031","Poa annua","Plant"
"1032","Smyrnium olusatrum","Plant"
"1033","Cerastium tomentosum","Plant"
"1034","Chenopodium album","Plant"
"1035","Geranium versicolor","Plant"
"1036","Spiraea × arguta","Plant"
"1037","Rosa rubiginosa","Plant"
"1038","Escallonia rubra","Plant"
"1039","Leucanthemum × superbum","Plant"
"1040","Salvia microphylla","Plant"
"1041","Fuchsia magellanica","Plant"
"1042","Laburnum × watereri","Plant"
"1043","Ribes sanguineum","Plant"
"1044","Rhododendron davidi","Plant"
"1045","Viburnum tinus","Plant"
"1046","Viola odorata","Plant"
"1047","Oxalis debilis","Plant"
"1048","Valeriana rubra","Plant"
"1049","Petunia × hybrida","Plant"
"1050","Calibrachoa parviflora","Plant"
"1051","Brachyglottis greyi","Plant"
"1052","Buddleja globosa","Plant"
"1053","Begonia cucullata","Plant"
"1054","Cotoneaster frigidus","Plant"
"1055","Helichrysum italicum","Plant"
"1056","Malva arborea","Plant"
"1057","Allium triquetrum","Plant"
"1058","Berberis darwinii","Plant"
"1059","Tilia europaea","Plant"
"1060","Dimorphotheca ecklonis","Plant"
"1061","Erigeron glaucus","Plant"
"1062","Linaria purpurea","Plant"
"1063","Crocosmia × crocosmiiflora","Plant"
"1064","Lathyrus odoratus","Plant"
"1065","Verbena bonariensis","Plant"
"1066","Tagetes erecta","Plant"
"1067","Fallopia baldschuanica","Plant"
"1068","Malus prunifolia","Plant"
"1069","Lonicera ligustrina","Plant"
"1070","Stachys byzantina","Plant"
"1071","Mentha × piperita","Plant"
"1072","Spiraea × billardii","Plant"
"1073","Alcea rosea","Plant"
"1074","Galium odoratum","Plant"
"1075","Phaseolus vulgaris","Plant"
"1076","Persicaria lapathifolia","Plant"
"1077","Trifolium alexandrinum","Plant"
"1078","Conium maculatum","Plant"
"1079","Rubus caesius","Plant"
"1080","Sanicula europaea","Plant"
"1081","Epilobium obscurum","Plant"
"1082","Veronica montana","Plant"
"1083","Rubus armeniacus","Plant"
"1084","Parthenocissus quinquefolia","Plant"
"1085","Asparagus officinalis","Plant"
"1086","Nepeta racemosa","Plant"
"1087","Dasiphora fruticosa","Plant"
"1088","Hemerocallis lilioasphodelus","Plant"
"1089","Satureja montana","Plant"
"1090","Malva trimestris","Plant"
"1091","Hibiscus trionum","Plant"
"1092","Achillea filipendulina","Plant"
"1093","Solanum lycopersicum","Plant"
"1094","Sideritis scardica","Plant"
"1095","Satureja hortensis","Plant"
"1096","Psammophiliella muralis","Plant"
"1097","Platycodon grandiflorus","Plant"
"1098","Phedimus hybridus","Plant"
"1099","Lysimachia punctata","Plant"
"1100","Rosa corymbifera","Plant"
"1101","Dianthus barbatus","Plant"
"1102","Silene coronaria","Plant"
"1103","Alcea biennis","Plant"
"1104","Aesculus parviflora","Plant"
"1105","Coreopsis verticillata","Plant"
"1106","Jacobaea maritima","Plant"
"1107","Mentha spicata","Plant"
"1108","Corydalis cava","Plant"
"1109","Chaenomeles japonica","Plant"
"1110","Amelanchier × lamarckii","Plant"
"1111","Weigela florida","Plant"
"1112","Campanula poscharskyana","Plant"
"1113","Cucurbita pepo","Plant"
"1114","Eriocapitella hupehensis","Plant"
"1115","Salvia yangii","Plant"
"1116","Sisymbrium loeselii","Plant"
"1117","Carduus acanthoides","Plant"
"1118","Lupinus albus","Plant"
"1119","Senecio vernalis","Plant"
"1120","Nepeta cataria","Plant"
"1121","Chaerophyllum bulbosum","Plant"
"1122","Acer pseudoplatanus","Plant"
"1123","Erysimum crepidifolium","Plant"
"1124","Euphorbia spathulata","Plant"
"1125","Salvia nemorosa","Plant"
"1126","Arenaria serpyllifolia","Plant"
"1127","Chondrilla juncea","Plant"
"1128","Helichrysum arenarium","Plant"
"1129","Hesperis matronalis","Plant"
"1130","Scabiosa ochroleuca","Plant"
"1131","Campanula bononiensis","Plant"
"1132","Scabiosa canescens","Plant"
"1133","Galium glaucum","Plant"
"1134","Malva thuringiaca","Plant"
"1135","Tragopogon dubius","Plant"
"1136","Senecio sylvaticus","Plant"
"1137","Althaea officinalis","Plant"
"1138","Lonicera tatarica","Plant"
"1139","Vicia hirsuta","Plant"
"1140","Vinca major","Plant"
"1141","Scutellaria altissima","Plant"
"1142","Veronica austriaca","Plant"
"1143","Geranium macrorrhizum","Plant"
"1144","Salvia farinacea","Plant"
"1145","Dahlia coccinea","Plant"
"1146","Salvia coccinea","Plant"
"1147","Ageratum houstonianum","Plant"
"1148","Veronicastrum virginicum","Plant"
"1149","Telekia speciosa","Plant"
"1150","Agastache urticifolia","Plant"
"1151","Rudbeckia hirta","Plant"
"1152","Robinia pseudoacacia","Plant"
"1153","Hydrangea arborescens","Plant"
"1154","Cephalaria gigantea","Plant"
"1155","Allium cepa","Plant"
"1156","Eurybia divaricata","Plant"
"1157","Persicaria orientalis","Plant"
"1158","Allium atropurpureum","Plant"
"1159","Bryonia alba","Plant"
"1160","Papaver somniferum","Plant"
"1161","Echinops exaltatus","Plant"
"1162","Cotoneaster acutifolius","Plant"
"1163","Liatris pycnostachya","Plant"
"1164","Syringa vulgaris","Plant"
"1165","Campanula serrata","Plant"
"1166","Gentianella praecox","Plant"
"1167","Viola declinata","Plant"
"1168","Galium boreale","Plant"
"1169","Asperula tinctoria","Plant"
"1170","Astragalus cicer","Plant"
"1171","Cirsium pannonicum","Plant"
"1172","Knautia kitaibelii","Plant"
"1173","Lotus germanicus","Plant"
"1174","Allium scorodoprasum","Plant"
"1175","Trifolium alpestre","Plant"
"1176","Gladiolus imbricatus","Plant"
"1177","Valeriana excelsa","Plant"
"1178","Comarum palustre","Plant"
"1179","Rubus arcticus","Plant"
"1180","Astragalus alpinus","Plant"
"1181","Achillea salicifolia","Plant"
"1182","Galium uliginosum","Plant"
"1183","Angelica archangelica","Plant"
"1184","Veronica orchidea","Plant"
"1185","Viola tricolor","Plant"
"1186","Cuscuta campestris","Plant"
"1187","Pentanema britannica","Plant"
"1188","Ranunculus breyninus","Plant"
"1189","Mentha pulegium","Plant"
"1190","Seseli annuum","Plant"
"1191","Potentilla incana","Plant"
"1192","Rhinanthus rumelicus","Plant"
"1193","Achillea distans","Plant"
"1194","Peucedanum officinale","Plant"
"1195","Allium saxatile","Plant"
"1196","Pentanema ensifolium","Plant"
"1197","Cephalaria radiata","Plant"
"1198","Centaurea reichenbachii","Plant"
"1199","Trifolium aureum","Plant"
"1200","Trifolium alpinum","Plant"
"1201","Linum austriacum","Plant"
"1202","Xeranthemum cylindraceum","Plant"
"1203","Thalictrum minus","Plant"
"1204","Thalictrum lucidum","Plant"
"1205","Allium denudatum","Plant"
"1206","Klasea radiata","Plant"
"1207","Chaerophyllum aromaticum","Plant"
"1208","Galium pumilum","Plant"
"1209","Ononis arvensis","Plant"
"1210","Valeriana tripteris","Plant"
"1211","Allium lusitanicum","Plant"
"1212","Erigeron glabratus","Plant"
"1213","Pinguicula alpina","Plant"
"1214","Valeriana saxatilis","Plant"
"1215","Hieracium piliferum","Plant"
"1216","Primula auricula","Plant"
"1217","Hieracium pilosum","Plant"
"1218","Leontopodium nivale","Plant"
"1219","Cytisus oromediterraneus","Plant"
"1220","Leucanthemopsis alpina","Plant"
"1221","Armeria caespitosa","Plant"
"1222","Jasione crispa","Plant"
"1223","Biscutella intermedia","Plant"
"1224","Adenocarpus hispanicus","Plant"
"1225","Jurinea humilis","Plant"
"1226","Senecio pyrenaicus","Plant"
"1227","Sedum brevifolium","Plant"
"1228","Silene ciliata","Plant"
"1229","Pilosella argyrocoma","Plant"
"1230","Pilosella vahlii","Plant"
"1231","Sedum candolleanum","Plant"
"1232","Euphrasia willkommii","Plant"
"1233","Gentiana lutea","Plant"
"1234","Gagea nevadensis","Plant"
"1235","Allium subvillosum","Plant"
"1236","Diplotaxis ibicensis","Plant"
"1237","Erodium chium","Plant"
"1238","Malva subovata","Plant"
"1239","Medicago arborea","Plant"
"1240","Ephedra fragilis","Plant"
"1241","Zygophyllum creticum","Plant"
"1242","Narcissus tazetta","Plant"
"1243","Withania frutescens","Plant"
"1244","Heliotropium europaeum","Plant"
"1245","Euphorbia dendroides","Plant"
"1246","Lotus cytisoides","Plant"
"1247","Anthemis maritima","Plant"
"1248","Calystegia soldanella","Plant"
"1249","Polygonum maritimum","Plant"
"1250","Cakile maritima","Plant"
"1251","Lonicera implexa","Plant"
"1252","Santolina chamaecyparissus","Plant"
"1253","Teucrium marum","Plant"
"1254","Clematis flammula","Plant"
"1255","Asphodelus aestivus","Plant"
"1256","Frankenia hirsuta","Plant"
"1257","Suaeda vera","Plant"
"1258","Hyoseris radiata","Plant"
"1259","Medicago littoralis","Plant"
"1260","Limonium minutum","Plant"
"1261","Taraxacum palustre","Plant"
"1262","Astragalus balearicus","Plant"
"1263","Lotus fulgurans","Plant"
"1264","Launaea cervicornis","Plant"
"1265","Asteriscus aquaticus","Plant"
"1266","Euphorbia pithyusa","Plant"
"1267","Euphorbia paralias","Plant"
"1268","Pallenis maritima","Plant"
"1269","Carlina corymbosa","Plant"
"1270","Carlina lanata","Plant"
"1271","Hyoseris scabra","Plant"
"1272","Senecio varicosus","Plant"
"1273","Reichardia tingitana","Plant"
"1274","Crucianella maritima","Plant"
"1275","Medicago marina","Plant"
"1276","Scrophularia canina","Plant"
"1277","Rubus ulmifolius","Plant"
"1278","Urospermum dalechampii","Plant"
"1279","Bellardia trixago","Plant"
"1280","Vicia benghalensis","Plant"
"1281","Trifolium stellatum","Plant"
"1282","Sideritis romana","Plant"
"1283","Sulla coronaria","Plant"
"1284","Punica granatum","Plant"
"1285","Bellis annua","Plant"
"1286","Anacamptis palustris","Plant"
"1287","Kundmannia sicula","Plant"
"1288","Calicotome spinosa","Plant"
"1289","Lupinus gussoneanus","Plant"
"1290","Thymelaea velutina","Plant"
"1291","Anthyllis hystrix","Plant"
"1292","Scolymus hispanicus","Plant"
"1293","Onopordum tauricum","Plant"
"1294","Ferula tingitana","Plant"
"1295","Hirschfeldia incana","Plant"
"1296","Ranunculus paludosus","Plant"
"1297","Plantago lagopus","Plant"
"1298","Tordylium apulum","Plant"
"1299","Centaurea spinosa","Plant"
"1300","Tamarix parviflora","Plant"
"1301","Crepis neglecta","Plant"
"1302","Muscari weissii","Plant"
"1303","Pseudodictamnus acetabulosus","Plant"
"1304","Hypericum triquetrifolium","Plant"
"1305","Calicotome villosa","Plant"
"1306","Lotus ornithopodioides","Plant"
"1307","Centaurea laconica","Plant"
"1308","Reichardia picroides","Plant"
"1309","Candollea mollis","Plant"
"1310","Trigonella balansae","Plant"
"1311","Trifolium nigrescens","Plant"
"1312","Cynoglossum columnae","Plant"
"1313","Medicago disciformis","Plant"
"1314","Vitex agnus-castus","Plant"
"1315","Heliotropium dolosum","Plant"
"1316","Phagnalon rupestre","Plant"
"1317","Orobanche ramosa","Plant"
"1318","Micromeria nervosa","Plant"
"1319","Phlomis fruticosa","Plant"
"1320","Melilotus neapolitanus","Plant"
"1321","Limonium sinuatum","Plant"
"1322","Daucus guttatus","Plant"
"1323","Centaurea raphanina","Plant"
"1324","Anthemis auriculata","Plant"
"1325","Chondrilla ramosissima","Plant"
"1326","Cynara cardunculus","Plant"
"1327","Echium angustifolium","Plant"
"1328","Hypochaeris cretensis","Plant"
"1329","Knautia integrifolia","Plant"
"1330","Anchusa hybrida","Plant"
"1331","Euphorbia terracina","Plant"
"1332","Alkanna tinctoria","Plant"
"1333","Senecio leucanthemifolius","Plant"
"1334","Lotus edulis","Plant"
"1335","Lotus peregrinus","Plant"
"1336","Echium italicum","Plant"
"1337","Silene colorata","Plant"
"1338","Crepis sancta","Plant"
"1339","Anthemis aciphylla","Plant"
"1340","Hedypnois rhagadioloides","Plant"
"1341","Trifolium uniflorum","Plant"
"1342","Crepis rubra","Plant"
"1343","Petrorhagia dubia","Plant"
"1344","Moraea sisyrinchium","Plant"
"1345","Lythrum junceum","Plant"
"1346","Erysimum pusillum","Plant"
"1347","Hymenonema graecum","Plant"
"1348","Anthyllis circinnata","Plant"
"1349","Legousia pentagonia","Plant"
"1350","Hypochaeris glabra","Plant"
"1351","Carduus pycnocephalus","Plant"
"1352","Anthemis rigida","Plant"
"1353","Hypecoum imberbe","Plant"
"1354","Ornithogalum narbonense","Plant"
"1355","Echinops spinosissimus","Plant"
"1356","Thymus pannonicus","Plant"
"1357","Pilosella echioides","Plant"
"1358","Petrosedum rupestre","Plant"
"1359","Ranunculus flammula","Plant"
"1360","Hieracium sabaudum","Plant"
"1361","Artemisia pontica","Plant"
"1362","Grindelia squarrosa","Plant"
"1363","Taraxacum serotinum","Plant"
"1364","Seseli campestre","Plant"
"1365","Linaria genistifolia","Plant"
"1366","Tribulus terrestris","Plant"
"1367","Mentha verticillata","Plant"
"1368","Jacobaea erratica","Plant"
"1369","Orlaya grandiflora","Plant"
"1370","Trifolium hirtum","Plant"
"1371","Leontodon crispus","Plant"
"1372","Sabulina glaucina","Plant"
"1373","Cirsium rivulare","Plant"
"1374","Tripleurospermum tenuifolium","Plant"
"1375","Senecio hercynicus","Plant"
"1376","Lamium garganicum","Plant"
"1377","Centaurium maritimum","Plant"
"1378","Linum trigynum","Plant"
"1379","Colchicum filifolium","Plant"
"1380","Ruta angustifolia","Plant"
"1381","Kickxia cirrhosa","Plant"
"1382","Allium roseum","Plant"
"1383","Geranium berteroanum","Plant"
"1384","Centaurea aspera","Plant"
"1385","Diplotaxis erucoides","Plant"
"1386","Lavandula dentata","Plant"
"1387","Melilotus sulcatus","Plant"
"1388","Reichardia intermedia","Plant"
"1389","Tragopogon porrifolius","Plant"
"1390","Bellis sylvestris","Plant"
"1391","Ononis viscosa","Plant"
"1392","Phagnalon saxatile","Plant"
"1393","Lathyrus cicera","Plant"
"1394","Hedypnois cretica","Plant"
"1395","Allium neapolitanum","Plant"
"1396","Dittrichia viscosa","Plant"
"1397","Fumaria bastardii","Plant"
"1398","Rosa sempervirens","Plant"
"1399","Crocus cambessedesii","Plant"
"1400","Linum strictum","Plant"
"1401","Ophrys bombyliflora","Plant"
"1402","Ophrys speculum","Plant"
"1403","Clematis cirrhosa","Plant"
"1404","Campanula erinus","Plant"
"1405","Ranunculus parviflorus","Plant"
"1406","Ophrys tenthredinifera","Plant"
"1407","Polygala rupestris","Plant"
"1408","Narcissus serotinus","Plant"
"1409","Euphorbia peplus","Plant"
"1410","Euphorbia medicaginea","Plant"
"1411","Euphorbia serrata","Plant"
"1412","Oedemera flavipes","Pollinator"
"1413","Rhodanthidium sticticum","Pollinator"
"1414","Oedemera lurida","Pollinator"
"1415","Psilothrix viridicoerulea","Pollinator"
"1416","Osmia aurulenta","Pollinator"
"1417","Anthophora aestivalis","Pollinator"
"1418","Andrena cinerea","Pollinator"
"1419","Apis mellifera","Pollinator"
"1420","Polistes gallicus","Pollinator"
"1421","Lasioglossum bimaculatum","Pollinator"
"1422","Anthophora retusa","Pollinator"
"1423","Andrena senecionis","Pollinator"
"1424","Megachile pyrenaica","Pollinator"
"1425","Panurgus calcaratus","Pollinator"
"1426","Anthidium septemspinosum","Pollinator"
"1427","Halictus rubicundus","Pollinator"
"1428","Andrena agilissima","Pollinator"
"1429","Mediimorda bipunctata","Pollinator"
"1430","Helorus ruficornis","Pollinator"
"1431","Andrena colletiformis","Pollinator"
"1432","Oxythyrea funesta","Pollinator"
"1433","Seladonia gemmea","Pollinator"
"1434","Plagiolepis pygmaea","Pollinator"
"1435","Lasioglossum pauxillum","Pollinator"
"1436","Callophrys rubi","Pollinator"
"1437","Nomada merceti","Pollinator"
"1438","Hylaeus gredleri","Pollinator"
"1439","Nomada fallax","Pollinator"
"1440","Andrena taraxaci","Pollinator"
"1441","Andrena nigroaenea","Pollinator"
"1442","Mordellistena pumila","Pollinator"
"1443","Oedemera nobilis","Pollinator"
"1444","Bombus terrestris","Pollinator"
"1445","Andrena fabrella","Pollinator"
"1446","Hylaeus variegatus","Pollinator"
"1447","Scolia hirta","Pollinator"
"1448","Ceratina cucurbitina","Pollinator"
"1449","Halictus pyrenaeus","Pollinator"
"1450","Camponotus aethiops","Pollinator"
"1451","Oedemera barbara","Pollinator"
"1452","Hylaeus nigritus","Pollinator"
"1453","Xylocopa violacea","Pollinator"
"1454","Halictus fulvipes","Pollinator"
"1455","Nomada succincta","Pollinator"
"1456","Andrena lepida","Pollinator"
"1457","Osmia dimidiata","Pollinator"
"1458","Andrena villipes","Pollinator"
"1459","Lasioglossum xanthopus","Pollinator"
"1460","Mylabris quadripunctata","Pollinator"
"1461","Panurgus banksianus","Pollinator"
"1462","Platynochaetus setosus","Pollinator"
"1463","Conophorus virescens","Pollinator"
"1464","Hylaeus taeniolatus","Pollinator"
"1465","Sphecodes gibbus","Pollinator"
"1466","Halictus quadricinctus","Pollinator"
"1467","Osmia tricornis","Pollinator"
"1468","Lasioglossum parvulum","Pollinator"
"1469","Andrena haemorrhoa","Pollinator"
"1470","Andrena ovatula","Pollinator"
"1471","Pyronia tithonus","Pollinator"
"1472","Hoplitis adunca","Pollinator"
"1473","Xylocopa iris","Pollinator"
"1474","Andrena tenuistriata","Pollinator"
"1475","Trichodes apiarius","Pollinator"
"1476","Vanessa atalanta","Pollinator"
"1477","Papilio machaon","Pollinator"
"1478","Osmia submicans","Pollinator"
"1479","Lasioglossum interruptum","Pollinator"
"1480","Pieris rapae","Pollinator"
"1481","Gymnosoma rotundatum","Pollinator"
"1482","Megachile argentata","Pollinator"
"1483","Seladonia subaurata","Pollinator"
"1484","Stenopterus rufus","Pollinator"
"1485","Halictus patellatus","Pollinator"
"1486","Merodon albifrons","Pollinator"
"1487","Anthidiellum breviusculum","Pollinator"
"1488","Anthidiellum strigatum","Pollinator"
"1489","Anthidium dalmaticum","Pollinator"
"1490","Hoplitis perezi","Pollinator"
"1491","Bombylius medius","Pollinator"
"1492","Bombylius posticus","Pollinator"
"1493","Anthophora dufourii","Pollinator"
"1494","Megachile montenegrensis","Pollinator"
"1495","Megachile parietina","Pollinator"
"1496","Andrena cinereophila","Pollinator"
"1497","Andrena orientana","Pollinator"
"1498","Andrena merula","Pollinator"
"1499","Cryptocephalus rugicollis","Pollinator"
"1500","Hylaeus imparilis","Pollinator"
"1501","Polistes dominula","Pollinator"
"1502","Eristalis tenax","Pollinator"
"1503","Osmia andrenoides","Pollinator"
